keya,keyb,disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,new,change,changetype_1,changetype_2,cluster
Feb-84,365-1984,2230,2230,2,USA,365,RUS,1984,12,9,1984,19,9,1984,7,3,0,17,4,0,1,1,0,0,0,0,0,1,1,1,0,0,0,17,4,1,3,1,3,1,0,1,8,8,15,0,15,81,75,81,0,0,0,0,cluster2
365-1984,Feb-84,2230,2230,365,RUS,2,USA,1984,12,9,1984,19,9,1984,7,3,0,17,4,0,1,1,1,0,0,0,17,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,8,8,15,15,0,81,81,75,0,0,0,0,cluster3
Feb-83,365-1983,2231,2231,2,USA,365,RUS,1983,24,11,1983,20,5,1984,0,0,0,9,3,0,2,2,0,0,0,0,9,3,1,1,0,0,0,7,3,1,3,1,3,1,0,1,38,38,7,7,7,49,49,49,0,0,0,0,cluster2
Feb-84,365-1984,2231,2231,2,USA,365,RUS,1984,24,11,1983,20,5,1984,5,3,0,9,3,0,2,2,0,0,0,0,9,3,1,1,0,0,0,7,3,1,3,1,3,1,0,2,142,180,7,7,7,49,49,49,0,0,0,0,cluster2
365-1983,Feb-83,2231,2231,365,RUS,2,USA,1983,24,11,1983,20,5,1984,0,0,0,9,3,0,2,2,1,0,0,0,7,3,1,0,0,0,0,9,3,1,1,3,1,3,0,1,38,38,7,7,7,49,49,49,0,0,0,0,cluster3
365-1984,Feb-84,2231,2231,365,RUS,2,USA,1984,24,11,1983,20,5,1984,5,3,0,9,3,0,2,2,1,0,0,0,7,3,1,0,0,0,0,9,3,1,1,3,1,3,0,2,142,180,7,7,7,49,49,49,0,0,0,0,cluster3
260-1984,315-1984,2231,2231,260,GFR,315,CZE,1984,20,4,1984,20,5,1984,5,3,0,19,4,0,2,2,0,0,0,0,7,3,0,1,0,0,0,19,4,0,4,2,3,1,0,1,31,31,16,7,16,65,49,65,0,0,0,0,cluster2
315-1984,260-1984,2231,2231,315,CZE,260,GFR,1984,20,4,1984,20,5,1984,5,3,0,19,4,0,2,2,1,0,0,0,19,4,0,0,0,0,0,7,3,0,2,4,1,3,0,1,31,31,16,16,7,65,65,49,0,0,0,0,cluster3
Feb-85,265-1985,2232,2232,2,USA,265,GDR,1985,6,6,1985,7,9,1985,5,3,1,14,4,0,2,2,1,0,0,0,14,3,0,0,0,0,0,0,1,1,2,3,1,3,0,1,94,94,12,12,0,65,65,65,0,0,0,0,cluster3
265-1985,Feb-85,2232,2232,265,GDR,2,USA,1985,6,6,1985,7,9,1985,5,3,1,14,4,0,2,2,0,0,0,0,0,1,1,1,0,0,0,14,3,0,3,2,3,1,0,1,94,94,12,0,12,65,65,65,0,0,0,0,cluster2
