disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,ongo2014,new,change,changetype_1,changetype_2,milex_a,milex_b,milper_a,milper_b,irst_a,irst_b,pec_a,pec_b,tpop_a,tpop_b,upop_a,upop_b,cinc_a,cinc_b,milex_ratio,milper_ratio,irst_ratio,pec_ratio,tpop_ratio,upop_ratio,cinc_ratio,power_asymmetry
2109,2109,645,IRQ,630,IRN,1970,20,1,1970,5,2,1970,5,3,0.0,17,4,0,1,1,1,1,1,0.0,17,4,1,0,0,0,0.0,7,3,1,1,3,1,3,0,1,17,17,15,15,7,81,81,49,0.0,0,0,0,0,251470.0,735313.0,95.0,245.0,0.0,0.0,6832.0,54221.0,9440.0,28705.0,3276.0,6031.0,0.002200107,0.006119583,0.341990418,0.387755102,?,0.12600284,0.328862567,0.5431935,0.359519133,0.003919476
2110,2110,630,IRN,645,IRQ,1971,14,4,1971,31,5,1971,5,3,1.0,18,4,1,1,1,1,1,1,1.0,18,4,1,0,1,1,1.0,18,4,1,1,3,1,3,0,1,48,48,17,17,17,75,75,75,0.0,0,0,0,0,735313.0,427398.0,255.0,105.0,0.0,0.0,55937.0,7647.0,29484.0,9750.0,6465.0,3804.0,0.006216623,0.002496563,1.720440901,2.428571429,?,7.31489473,3.024,1.699526814,2.490073011,0.003720061
2110,2110,645,IRQ,630,IRN,1971,14,4,1971,31,5,1971,5,3,1.0,18,4,1,1,1,0,1,1,1.0,18,4,1,1,1,1,1.0,18,4,1,3,1,3,1,0,1,48,48,17,17,17,75,75,75,0.0,0,0,0,0,427398.0,735313.0,105.0,255.0,0.0,0.0,7647.0,55937.0,9750.0,29484.0,3804.0,6465.0,0.002496563,0.006216623,0.581246354,0.411764706,?,0.136707367,0.330687831,0.588399072,0.40159465,0.003720061
2112,2112,630,IRN,645,IRQ,1973,2,1,1973,13,3,1975,0,0,0.0,19,4,1,1,1,0,1,2,0.0,18,4,1,1,1,2,0.0,19,4,1,3,1,3,1,0,1,364,364,16,17,16,65,75,65,0.0,0,2,0,0,1814697.0,658068.0,285.0,105.0,200.0,0.0,60013.0,8342.0,31106.0,10413.0,7032.0,4860.0,0.006941579,0.002743157,2.757613195,2.714285714,?,7.194078159,2.987227504,1.44691358,2.530507203,0.004198422
2112,2112,630,IRN,645,IRQ,1974,2,1,1973,13,3,1975,0,0,0.0,19,4,1,1,1,0,1,2,0.0,18,4,1,1,1,2,0.0,19,4,1,3,1,3,1,0,2,365,729,16,17,16,65,75,65,0.0,0,2,0,0,4658080.0,1429055.0,310.0,110.0,1300.0,0.0,68527.0,8517.0,31951.0,10765.0,7843.0,5388.0,0.008823063,0.003153766,3.259552641,2.818181818,?,8.045908184,2.968044589,1.455642168,2.79762808,0.005669298
2112,2112,630,IRN,645,IRQ,1975,2,1,1973,13,3,1975,6,3,3.0,19,4,1,1,1,0,1,2,2.0,18,4,1,1,1,2,2.0,19,4,1,3,1,3,1,0,3,73,802,16,17,16,65,75,65,0.0,0,2,0,0,6667751.0,1591601.0,385.0,155.0,1300.0,0.0,69426.0,9487.0,32818.0,11124.0,8654.0,5916.0,0.010049166,0.003515994,4.189335769,2.483870968,?,7.318014125,2.950197771,1.462812711,2.858129126,0.006533172
2112,2112,645,IRQ,630,IRN,1973,2,1,1973,13,3,1975,0,0,0.0,19,4,1,1,1,1,1,2,0.0,19,4,1,0,1,2,0.0,18,4,1,1,3,1,3,0,1,364,364,16,16,17,65,65,75,0.0,0,2,0,0,658068.0,1814697.0,105.0,285.0,0.0,200.0,8342.0,60013.0,10413.0,31106.0,4860.0,7032.0,0.002743157,0.006941579,0.362632439,0.368421053,0.0,0.139003216,0.334758567,0.69112628,0.395177694,0.004198422
2112,2112,645,IRQ,630,IRN,1974,2,1,1973,13,3,1975,0,0,0.0,19,4,1,1,1,1,1,2,0.0,19,4,1,0,1,2,0.0,18,4,1,1,3,1,3,0,2,365,729,16,16,17,65,65,75,0.0,0,2,0,0,1429055.0,4658080.0,110.0,310.0,0.0,1300.0,8517.0,68527.0,10765.0,31951.0,5388.0,7843.0,0.003153766,0.008823063,0.306790566,0.35483871,0.0,0.124286777,0.336922162,0.686982022,0.357445654,0.005669298
2112,2112,645,IRQ,630,IRN,1975,2,1,1973,13,3,1975,6,3,3.0,19,4,1,1,1,1,1,2,2.0,19,4,1,0,1,2,2.0,18,4,1,1,3,1,3,0,3,73,802,16,16,17,65,65,75,0.0,0,2,0,0,1591601.0,6667751.0,155.0,385.0,0.0,1300.0,9487.0,69426.0,11124.0,32818.0,5916.0,8654.0,0.003515994,0.010049166,0.238701325,0.402597403,0.0,0.136649094,0.338960327,0.683614514,0.349879224,0.006533172
2113,2113,630,IRN,645,IRQ,1979,27,2,1979,19,6,1979,5,3,0.0,19,4,0,1,1,0,1,2,0.0,9,3,1,1,1,2,0.0,19,4,1,3,1,3,1,0,1,113,113,16,7,16,65,49,65,0.0,0,0,0,0,5462930.0,2675245.0,415.0,444.0,1000.0,352.0,82654.0,18157.0,37814.0,12821.0,12702.0,8027.0,0.009486066,0.005880917,2.042029795,0.934684685,2.840909091,4.552183731,2.949379924,1.582409368,1.613025147,0.00360515
