keya,keyb,disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,ongo2014,new,change,changetype_1,changetype_2,milex_a,milex_b,milper_a,milper_b,irst_a,irst_b,pec_a,pec_b,tpop_a,tpop_b,upop_a,upop_b,cinc_a,cinc_b,milex_ratio,milper_ratio,irst_ratio,pec_ratio,tpop_ratio,upop_ratio,cinc_ratio,power_asymmetry
344-1996,346-1996,4231,4231,344,CRO,346,BOS,1996,10,8,1996,18,10,1996,7,2,0,17,4,0,1,1,1,0,0,0,17,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,70,70,15,15,0,81,81,30,0,0,0,0,0,1308000,255000,58,90,46,52,14354,1692,4494,4510,1097,562,0.00111279,0.000939254,5.129411765,0.644444444,0.884615385,8.483451537,0.996452328,1.951957295,1.184758375,0.000173535
346-1996,344-1996,4231,4231,346,BOS,344,CRO,1996,10,8,1996,18,10,1996,7,2,0,17,4,0,1,1,0,0,0,0,0,1,1,1,0,0,0,17,4,1,3,1,3,1,0,1,70,70,15,0,15,81,30,81,0,0,0,0,0,255000,1308000,90,58,52,46,1692,14354,4510,4494,562,1097,0.000939254,0.00111279,0.194954128,1.551724138,1.130434783,0.11787655,1.003560303,0.51230629,0.844053961,0.000173535
371-2000,373-2000,4232,4232,371,ARM,373,AZE,2000,3,4,2000,27,4,2000,5,3,0,19,4,0,1,1,1,1,1,0,19,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,25,25,16,16,0,65,65,49,0,0,0,0,0,690000,830000,41,72,0,8,2471,22550,3520,7734,1454,2392,0.000705564,0.001395034,0.831325301,0.569444444,0,0.109578714,0.455133178,0.607859532,0.505768377,0.00068947
373-2000,371-2000,4232,4232,373,AZE,371,ARM,2000,3,4,2000,27,4,2000,5,3,0,19,4,0,1,1,0,0,0,0,0,1,1,1,1,1,0,19,4,1,3,1,3,1,0,1,25,25,16,0,16,65,49,65,0,0,0,0,0,830000,690000,72,41,8,0,22550,2471,7734,3520,2392,1454,0.001395034,0.000705564,1.202898551,1.756097561,,9.125859976,2.197159091,1.645116919,1.97718965,0.00068947
350-2001,640-2001,4233,4233,350,GRC,640,TUR,2001,31,1,2001,31,1,2001,5,3,0,7,3,0,1,1,1,0,0,0,7,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,7,7,0,49,49,30,0,0,0,0,0,5517000,7219000,159,515,1281,14981,64999,115147,10950,68365,2054,21539,0.003821466,0.013525398,0.764233273,0.308737864,0.085508311,0.564487134,0.160169677,0.095361902,0.282539981,0.009703932
640-2001,350-2001,4233,4233,640,TUR,350,GRC,2001,31,1,2001,31,1,2001,5,3,0,7,3,0,1,1,0,0,0,0,0,1,1,1,0,0,0,7,3,1,3,1,3,1,0,1,1,1,7,0,7,49,30,49,0,0,0,0,0,7219000,5517000,515,159,14981,1281,115147,64999,68365,10950,21539,2054,0.013525398,0.003821466,1.308500997,3.238993711,11.69476971,1.771519562,6.243378995,10.48636806,3.539322098,0.009703932
371-2001,373-2001,4235,4235,371,ARM,373,AZE,2001,5,2,2001,5,2,2001,5,3,0,19,4,0,1,1,1,1,1,0,19,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,16,16,0,65,65,30,0,0,0,0,0,637000,833000,42,72,0,8,2484,23311,3214,8111,1362,2408,0.000698634,0.001436548,0.764705882,0.583333333,0,0.106559135,0.396252003,0.565614618,0.486328158,0.000737914
373-2001,371-2001,4235,4235,373,AZE,371,ARM,2001,5,2,2001,5,2,2001,5,3,0,19,4,0,1,1,0,0,0,0,0,1,1,1,1,1,0,19,4,1,3,1,3,1,0,1,1,1,16,0,16,65,30,65,0,0,0,0,0,833000,637000,72,42,8,0,23311,2484,8111,3214,2408,1362,0.001436548,0.000698634,1.307692308,1.714285714,,9.384460548,2.523646546,1.767988253,2.05622476,0.000737914
371-2001,373-2001,4236,4236,371,ARM,373,AZE,2001,12,12,2001,12,12,2001,5,3,0,5,2,0,1,1,0,0,0,0,0,1,1,1,1,1,0,5,2,1,3,1,3,1,0,1,1,1,4,0,4,29,0,29,0,0,0,0,0,637000,833000,42,72,0,8,2484,23311,3214,8111,1362,2408,0.000698634,0.001436548,0.764705882,0.583333333,0,0.106559135,0.396252003,0.565614618,0.486328158,0.000737914
373-2001,371-2001,4236,4236,373,AZE,371,ARM,2001,12,12,2001,12,12,2001,5,3,0,5,2,0,1,1,1,1,1,0,5,2,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,4,4,0,29,29,0,0,0,0,0,0,833000,637000,72,42,8,0,23311,2484,8111,3214,2408,1362,0.001436548,0.000698634,1.307692308,1.714285714,,9.384460548,2.523646546,1.767988253,2.05622476,0.000737914
560-1994,570-1994,4237,4237,560,SAF,570,LES,1994,16,12,1994,16,12,1994,8,3,0,13,3,0,1,1,0,0,0,0,0,1,1,1,0,0,0,13,3,1,3,1,3,1,0,1,1,1,11,0,11,49,0,49,0,0,0,0,0,4071000,32000,75,2,8525,0,204308,987,40436,1977,10938,157,0.00833976,0.000110293,127.21875,37.5,,206.9989868,20.45321194,69.66878981,75.61489783,0.008229467
570-1994,560-1994,4237,4237,570,LES,560,SAF,1994,16,12,1994,16,12,1994,8,3,0,13,3,0,1,1,1,0,0,0,13,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,11,11,0,49,49,0,0,0,0,0,0,32000,4071000,2,75,0,8525,987,204308,1977,40436,157,10938,0.000110293,0.00833976,0.007860477,0.026666667,0,0.004830942,0.048892076,0.01435363,0.013224907,0.008229467
365-2001,385-2001,4238,4238,365,RUS,385,NOR,2001,14,2,2001,14,2,2001,5,3,0,7,3,0,1,1,0,0,0,0,0,1,1,1,1,2,0,7,3,1,3,1,3,1,0,1,1,1,7,0,7,49,49,49,0,0,0,0,0,63684000,2967000,977,27,58970,640,1072009,47992,145976,4514,66734,1005,0.053511951,0.001666018,21.46410516,36.18518519,92.140625,22.33724371,32.33850244,66.40199005,32.11967543,0.051845933
385-2001,365-2001,4238,4238,385,NOR,365,RUS,2001,14,2,2001,14,2,2001,5,3,0,7,3,0,1,1,1,1,2,0,7,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,7,7,0,49,49,49,0,0,0,0,0,2967000,63684000,27,977,640,58970,47992,1072009,4514,145976,1005,66734,0.001666018,0.053511951,0.04658941,0.027635619,0.010852976,0.044768281,0.030922891,0.01505979,0.031133565,0.051845933
365-2001,740-2001,4239,4239,365,RUS,740,JPN,2001,14,2,2001,11,4,2001,5,3,0,14,3,0,1,1,1,0,0,0,14,3,1,0,0,0,0,7,3,1,1,3,1,3,0,1,57,57,12,12,7,65,65,49,0,0,0,0,0,63684000,39513000,977,240,58970,102866,1072009,685733,145976,127149,66734,72384,0.053511951,0.047059998,1.611722724,4.070833333,0.57327008,1.563303793,1.148070374,0.921944076,1.13710058,0.006451953
740-2001,365-2001,4239,4239,740,JPN,365,RUS,2001,14,2,2001,11,4,2001,5,3,0,14,3,0,1,1,0,0,0,0,7,3,1,1,0,0,0,14,3,1,3,1,3,1,0,1,57,57,12,7,12,65,49,65,0,0,0,0,0,39513000,63684000,240,977,102866,58970,685733,1072009,127149,145976,72384,66734,0.047059998,0.053511951,0.620454117,0.245649949,1.744378498,0.639670936,0.871026744,1.084664489,0.879429681,0.006451953
368-2001,370-2001,4240,4240,368,LIT,370,BLR,2001,30,8,2001,30,9,2001,5,3,0,7,3,0,1,1,0,0,0,0,0,1,1,1,1,2,0,7,3,1,3,1,3,1,0,1,32,32,7,0,7,49,84,49,0,0,0,0,0,211000,1960000,12,83,1,1486,14782,47769,3481,9971,1367,4528,0.000514261,0.002538051,0.107653061,0.144578313,0.000672948,0.30944755,0.349112426,0.301899293,0.202620527,0.00202379
370-2001,368-2001,4240,4240,370,BLR,368,LIT,2001,30,8,2001,30,9,2001,5,3,0,7,3,0,1,1,1,1,2,0,7,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,32,32,7,7,0,49,49,84,0,0,0,0,0,1960000,211000,83,12,1486,1,47769,14782,9971,3481,4528,1367,0.002538051,0.000514261,9.289099526,6.916666667,1486,3.231565417,2.86440678,3.312362838,4.935334125,0.00202379
365-2001,372-2001,4242,4242,365,RUS,372,GRG,2001,18,10,2001,15,11,2005,0,0,0,19,4,0,1,1,1,1,2,0,19,4,1,0,0,0,0,13,3,1,1,3,1,3,0,1,75,75,16,16,11,65,65,49,0,0,0,0,0,63684000,265000,977,17,58970,7,1072009,3136,145976,4386,66734,1553,0.053511951,0.000478569,240.3169811,57.47058824,8424.285714,341.8396046,33.28226174,42.97102382,111.8164933,0.053033382
365-2002,372-2002,4242,4242,365,RUS,372,GRG,2002,18,10,2001,15,11,2005,0,0,0,19,4,0,1,1,1,1,2,0,19,4,1,0,0,0,0,13,3,1,1,3,1,3,0,2,365,440,16,16,11,65,65,49,0,0,0,0,0,50800000,350000,988,18,59777,0,1083957,3003,145521,4622,50475,1084,0.049559519,0.000482201,145.1428571,54.88888889,,360.958042,31.48442233,46.56365314,102.777732,0.049077318
365-2003,372-2003,4242,4242,365,RUS,372,GRG,2003,18,10,2001,15,11,2005,0,0,0,19,4,0,1,1,1,1,2,0,19,4,1,0,0,0,0,13,3,1,1,3,1,3,0,3,365,805,16,16,11,65,65,49,0,0,0,0,0,65200000,350000,961,18,61450,0,1119895,3248,144880,4565,50680,1089,0.049654987,0.000469882,186.2857143,53.38888889,,344.7952586,31.73713034,46.53810836,105.675496,0.049185105
365-2004,372-2004,4242,4242,365,RUS,372,GRG,2004,18,10,2001,15,11,2005,0,0,0,19,4,0,1,1,1,1,2,0,19,4,1,0,0,0,0,13,3,1,1,3,1,3,0,4,366,1171,16,16,11,65,65,49,0,0,0,0,0,61500000,365000,999,15,65583,0,1131021,3657,144331,4515,50920,1095,0.047631226,0.000440461,168.4931507,66.6,,309.2756358,31.96699889,46.50228311,108.139606,0.047190765
365-2005,372-2005,4242,4242,365,RUS,372,GRG,2005,18,10,2001,15,11,2005,5,3,0,19,4,0,1,1,1,1,2,0,19,4,1,0,0,0,0,13,3,1,1,3,1,3,0,5,320,1491,16,16,11,65,65,49,0,0,0,0,0,18768000,214000,1037,11,66146,0,1155463,3926,143933,4475,51163,1100,0.040723398,0.000382955,87.70093458,94.27272727,,294.3104941,32.16379888,46.51181818,106.3398847,0.040340443
372-2001,365-2001,4242,4242,372,GRG,365,RUS,2001,18,10,2001,15,11,2005,0,0,0,19,4,0,1,1,0,0,0,0,13,3,1,1,1,2,0,19,4,1,3,1,3,1,0,1,75,75,16,11,16,65,49,65,0,0,0,0,0,265000,63684000,17,977,7,58970,3136,1072009,4386,145976,1553,66734,0.000478569,0.053511951,0.004161171,0.017400205,0.000118704,0.002925349,0.030046035,0.023271496,0.008943224,0.053033382
372-2002,365-2002,4242,4242,372,GRG,365,RUS,2002,18,10,2001,15,11,2005,0,0,0,19,4,0,1,1,0,0,0,0,13,3,1,1,1,2,0,19,4,1,3,1,3,1,0,2,365,440,16,11,16,65,49,65,0,0,0,0,0,350000,50800000,18,988,0,59777,3003,1083957,4622,145521,1084,50475,0.000482201,0.049559519,0.006889764,0.018218623,0,0.002770405,0.031761739,0.021475978,0.009729734,0.049077318
372-2003,365-2003,4242,4242,372,GRG,365,RUS,2003,18,10,2001,15,11,2005,0,0,0,19,4,0,1,1,0,0,0,0,13,3,1,1,1,2,0,19,4,1,3,1,3,1,0,3,365,805,16,11,16,65,49,65,0,0,0,0,0,350000,65200000,18,961,0,61450,3248,1119895,4565,144880,1089,50680,0.000469882,0.049654987,0.005368098,0.018730489,0,0.002900272,0.031508835,0.021487766,0.009462932,0.049185105
372-2004,365-2004,4242,4242,372,GRG,365,RUS,2004,18,10,2001,15,11,2005,0,0,0,19,4,0,1,1,0,0,0,0,13,3,1,1,1,2,0,19,4,1,3,1,3,1,0,4,366,1171,16,11,16,65,49,65,0,0,0,0,0,365000,61500000,15,999,0,65583,3657,1131021,4515,144331,1095,50920,0.000440461,0.047631226,0.005934959,0.015015015,0,0.003233362,0.031282261,0.021504321,0.009247306,0.047190765
372-2005,365-2005,4242,4242,372,GRG,365,RUS,2005,18,10,2001,15,11,2005,5,3,0,19,4,0,1,1,0,0,0,0,13,3,1,1,1,2,0,19,4,1,3,1,3,1,0,5,320,1491,16,11,16,65,49,65,0,0,0,0,0,214000,18768000,11,1037,0,66146,3926,1155463,4475,143933,1100,51163,0.000382955,0.040723398,0.011402387,0.010607522,0,0.003397772,0.031090855,0.021499912,0.009403809,0.040340443
840-2000,986-2000,4243,4243,840,PHI,986,PAL,2000,4,7,2000,4,7,2000,5,3,0,19,4,0,1,1,0,1,2,0,0,1,1,1,0,0,0,19,4,1,3,1,3,1,0,1,1,1,16,0,16,65,75,65,0,0,0,0,0,1357000,0,106,0,426,0,38029,13,75967,19,21774,0,0.005581292,6.6745685e-07,,,,2925.307692,3998.263158,,8362.026549,0.005580624
986-2000,840-2000,4243,4243,986,PAL,840,PHI,2000,4,7,2000,4,7,2000,5,3,0,19,4,0,1,1,1,0,0,0,19,4,1,0,1,2,0,0,1,1,1,3,1,3,0,1,1,1,16,16,0,65,65,75,0,0,0,0,0,0,1357000,0,106,0,426,13,38029,19,75967,0,21774,6.6745685e-07,0.005581292,0,0,0,0.000341844,0.000250109,0,0.000119588,0.005580624
490-1997,540-1997,4244,4244,490,DRC,540,ANG,1997,8,5,1997,31,5,1997,5,3,0,13,3,0,1,1,0,0,0,0,0,1,1,1,1,3,0,13,3,1,3,1,3,1,0,1,24,24,11,0,11,49,75,49,0,0,0,0,0,308000,764000,30,95,30,9,20148,8045,48040,11569,10973,2260,0.002980296,0.001517939,0.403141361,0.315789474,3.333333333,2.504412679,4.152476446,4.855309735,1.963383631,0.001462357
540-1997,490-1997,4244,4244,540,ANG,490,DRC,1997,8,5,1997,31,5,1997,5,3,0,13,3,0,1,1,1,1,3,0,13,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,24,24,11,11,0,49,49,75,0,0,0,0,0,764000,308000,95,30,9,30,8045,20148,11569,48040,2260,10973,0.001517939,0.002980296,2.480519481,3.166666667,0.3,0.399295215,0.24082015,0.205960084,0.509324813,0.001462357
484-1997,490-1997,4245,4245,484,CON,490,DRC,1997,8,10,1997,8,10,1997,5,3,0,19,4,0,1,1,0,0,0,0,19,4,1,1,0,0,0,19,4,1,3,1,3,1,0,1,1,1,16,16,16,65,65,65,0,0,0,0,0,74000,308000,10,30,0,30,1775,20148,2745,48040,1594,10973,0.000345829,0.002980296,0.24025974,0.333333333,0,0.088098074,0.057139883,0.145265652,0.116038364,0.002634467
490-1997,484-1997,4245,4245,490,DRC,484,CON,1997,8,10,1997,8,10,1997,5,3,0,19,4,0,1,1,1,0,0,0,19,4,1,0,0,0,0,19,4,1,1,3,1,3,0,1,1,1,16,16,16,65,65,65,0,0,0,0,0,308000,74000,30,10,30,0,20148,1775,48040,2745,10973,1594,0.002980296,0.000345829,4.162162162,3,,11.35098592,17.50091075,6.883939774,8.617839499,0.002634467
484-1997,540-1997,4246,4246,484,CON,540,ANG,1997,11,10,1997,15,10,1997,2,3,0,18,4,1,1,1,0,0,0,,18,4,1,1,1,3,,18,4,1,3,1,3,1,0,1,5,5,17,17,17,75,75,75,0,0,0,0,0,74000,764000,10,95,0,9,1775,8045,2745,11569,1594,2260,0.000345829,0.001517939,0.096858639,0.105263158,0,0.220633934,0.23727202,0.705309735,0.227827825,0.00117211
540-1997,484-1997,4246,4246,540,ANG,484,CON,1997,11,10,1997,15,10,1997,1,3,0,18,4,1,1,1,1,1,3,,18,4,1,0,0,0,,18,4,1,1,3,1,3,0,1,5,5,17,17,17,75,75,75,0,0,0,0,0,764000,74000,95,10,9,0,8045,1775,11569,2745,2260,1594,0.001517939,0.000345829,10.32432432,9.5,,4.532394366,4.214571949,1.417816813,4.389279489,0.00117211
500-1998,625-1998,4248,4248,500,UGA,625,SUD,1998,28,9,1998,30,4,1999,0,0,0,19,4,0,1,1,0,0,0,0,13,3,1,1,0,0,0,19,4,1,3,1,3,1,0,1,95,95,16,11,16,65,49,65,0,0,0,0,0,230000,381000,50,105,30,0,9457,15372,20554,28292,1122,6093,0.001237636,0.002445226,0.603674541,0.476190476,,0.615209472,0.726495122,0.184145741,0.506143665,0.00120759
500-1999,625-1999,4248,4248,500,UGA,625,SUD,1999,28,9,1998,30,4,1999,5,3,0,19,4,0,1,1,0,0,0,0,13,3,1,1,0,0,0,19,4,1,3,1,3,1,0,2,121,216,16,11,16,65,49,65,0,0,0,0,0,199000,424000,50,105,30,0,9768,15026,21143,28883,1172,6395,0.001239745,0.002452057,0.469339623,0.476190476,,0.650073206,0.732022297,0.183268178,0.505593691,0.001212313
625-1998,500-1998,4248,4248,625,SUD,500,UGA,1998,28,9,1998,30,4,1999,0,0,0,19,4,0,1,1,1,0,0,0,19,4,1,0,0,0,0,13,3,1,1,3,1,3,0,1,95,95,16,16,11,65,65,49,0,0,0,0,0,381000,230000,105,50,0,30,15372,9457,28292,20554,6093,1122,0.002445226,0.001237636,1.656521739,2.1,0,1.62546262,1.376471733,5.430481283,1.975723632,0.00120759
625-1999,500-1999,4248,4248,625,SUD,500,UGA,1999,28,9,1998,30,4,1999,5,3,0,19,4,0,1,1,1,0,0,0,19,4,1,0,0,0,0,13,3,1,1,3,1,3,0,2,121,216,16,16,11,65,65,49,0,0,0,0,0,424000,199000,105,50,0,30,15026,9768,28883,21143,6395,1172,0.002452057,0.001239745,2.130653266,2.1,0,1.538288288,1.366078608,5.456484642,1.977872781,0.001212313
500-1997,501-1997,4249,4249,500,UGA,501,KEN,1997,16,2,1997,28,2,1997,5,3,0,13,3,0,1,1,0,0,0,0,0,1,1,1,0,0,0,13,3,1,3,1,3,1,0,1,13,13,11,0,11,49,49,49,0,0,0,0,0,166000,269000,50,24,30,20,9191,15913,20438,33144,1072,2772,0.001212507,0.001645249,0.617100372,2.083333333,1.5,0.577578081,0.61664253,0.386724387,0.73697487,0.000432742
501-1997,500-1997,4249,4249,501,KEN,500,UGA,1997,16,2,1997,28,2,1997,5,3,0,13,3,0,1,1,1,0,0,0,13,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,13,13,11,11,0,49,49,75,0,0,0,0,0,269000,166000,24,50,20,30,15913,9191,33144,20438,2772,1072,0.001645249,0.001212507,1.620481928,0.48,0.666666667,1.731367642,1.621685096,2.585820896,1.35689837,0.000432742
471-1998,475-1998,4250,4250,471,CAO,475,NIG,1998,25,2,1998,11,9,1998,5,3,0,18,4,1,1,1,1,1,1,,18,4,1,0,1,1,,18,4,1,1,3,1,3,0,1,199,199,17,17,17,75,75,75,0,0,0,0,0,149000,2143000,15,76,0,15,8311,62593,14305,106409,2410,20301,0.000875715,0.006688712,0.069528698,0.197368421,0,0.132778426,0.134434117,0.118713364,0.130924288,0.005812997
475-1998,471-1998,4250,4250,475,NIG,471,CAO,1998,25,2,1998,11,9,1998,5,3,0,18,4,1,1,1,0,1,1,,18,4,1,1,1,1,,18,4,1,3,1,3,1,0,1,199,199,17,17,17,75,75,75,0,0,0,0,0,2143000,149000,76,15,15,0,62593,8311,106409,14305,20301,2410,0.006688712,0.000875715,14.38255034,5.066666667,,7.531344002,7.438587906,8.423651452,7.638002223,0.005812997
438-1997,451-1997,4251,4251,438,GUI,451,SIE,1997,27,5,1997,10,3,1998,0,0,0,16,4,0,3,1,1,1,3,0,16,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,219,219,14,14,0,84,84,49,0,0,0,0,0,51000,51000,12,5,0,0,2585,1561,7614,4428,819,649,0.000428778,0.000256511,1,2.4,,1.65598975,1.719512195,1.261941448,1.671578055,0.000172267
438-1998,451-1998,4251,4251,438,GUI,451,SIE,1998,27,5,1997,10,3,1998,1,2,0,16,4,0,3,1,1,1,3,0,16,4,1,0,0,0,0,0,1,1,1,3,1,3,0,2,70,289,14,14,0,84,84,49,0,0,0,0,0,59000,26000,12,4,0,0,2611,1602,7337,4568,849,671,0.00042289,0.00024741,2.269230769,3,,1.629837703,1.60617338,1.265275708,1.709269969,0.00017548
451-1997,438-1997,4251,4251,451,SIE,438,GUI,1997,27,5,1997,10,3,1998,0,0,0,16,4,0,3,1,0,0,0,0,0,1,1,1,1,3,0,16,4,1,3,1,3,1,0,1,219,219,14,0,14,84,75,84,0,0,0,0,0,51000,51000,5,12,0,0,1561,2585,4428,7614,649,819,0.000256511,0.000428778,1,0.416666667,,0.603868472,0.581560284,0.792429792,0.598237095,0.000172267
451-1998,438-1998,4251,4251,451,SIE,438,GUI,1998,27,5,1997,10,3,1998,2,2,0,16,4,0,3,1,0,0,0,0,0,1,1,1,1,3,0,16,4,1,3,1,3,1,0,2,70,289,14,0,14,84,75,84,0,0,0,0,0,26000,59000,4,12,0,0,1602,2611,4568,7337,671,849,0.00024741,0.00042289,0.440677966,0.333333333,,0.613558024,0.622597792,0.790341578,0.585045088,0.00017548
451-1997,452-1997,4251,4251,451,SIE,452,GHA,1997,27,5,1997,5,6,1997,5,3,0,16,4,0,3,1,0,0,0,0,0,1,1,1,1,3,0,16,4,1,3,1,3,1,0,1,10,10,14,0,14,84,75,84,0,0,0,0,0,51000,134000,5,7,0,25,1561,8771,4428,18338,649,2883,0.000256511,0.000995019,0.380597015,0.714285714,0,0.177972865,0.241465809,0.22511273,0.257794739,0.000738508
452-1997,451-1997,4251,4251,452,GHA,451,SIE,1997,27,5,1997,5,6,1997,5,3,0,16,4,0,3,1,1,1,3,0,16,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,10,10,14,14,0,84,84,75,0,0,0,0,0,134000,51000,7,5,25,0,8771,1561,18338,4428,2883,649,0.000995019,0.000256511,2.62745098,1.4,,5.618834081,4.14137308,4.442218798,3.87905511,0.000738508
451-1997,475-1997,4251,4251,451,SIE,475,NIG,1997,27,5,1997,2,3,1998,0,0,0,18,4,1,3,1,0,0,0,0,18,4,1,1,1,3,0,18,4,1,3,1,3,1,0,1,219,219,17,17,17,75,75,75,0,0,0,0,0,51000,1965000,5,76,0,15,1561,65534,4428,118369,649,19356,0.000256511,0.007026702,0.025954198,0.065789474,0,0.023819697,0.037408443,0.033529655,0.036505126,0.006770191
451-1998,475-1998,4251,4251,451,SIE,475,NIG,1998,27,5,1997,2,3,1998,2,2,0,18,4,1,3,1,0,0,0,,18,4,1,1,1,3,1,18,4,1,3,1,3,1,0,2,62,281,17,17,17,75,75,75,0,0,0,0,0,26000,2143000,4,76,0,15,1602,62593,4568,106409,671,20301,0.00024741,0.006688712,0.012132524,0.052631579,0,0.025593916,0.0429287,0.033052559,0.036989149,0.006441302
475-1997,451-1997,4251,4251,475,NIG,451,SIE,1997,27,5,1997,2,3,1998,0,0,0,18,4,1,3,1,1,1,3,0,18,4,1,0,0,0,0,18,4,1,1,3,1,3,0,1,219,219,17,17,17,75,75,75,0,0,0,0,0,1965000,51000,76,5,15,0,65534,1561,118369,4428,19356,649,0.007026702,0.000256511,38.52941176,15.2,,41.98206278,26.73193315,29.82434515,27.39341329,0.006770191
475-1998,451-1998,4251,4251,475,NIG,451,SIE,1998,27,5,1997,2,3,1998,1,2,0,18,4,1,3,1,1,1,3,1,18,4,1,0,0,0,,18,4,1,1,3,1,3,0,2,62,281,17,17,17,75,75,75,0,0,0,0,0,2143000,26000,76,4,15,0,62593,1602,106409,4568,20301,671,0.006688712,0.00024741,82.42307692,19,,39.07178527,23.29443958,30.25484352,27.03495581,0.006441302
500-1999,517-1999,4252,4252,500,UGA,517,RWA,1999,14,8,1999,18,8,1999,5,1,0,18,4,1,1,1,1,1,2,,18,4,1,0,1,2,,18,4,1,1,3,1,3,0,1,5,5,17,17,17,75,75,75,0,0,0,0,0,199000,135000,50,40,30,0,9768,2364,21143,7235,1172,326,0.001239745,0.000594049,1.474074074,1.25,,4.131979695,2.922322046,3.595092025,2.086941231,0.000645696
517-1999,500-1999,4252,4252,517,RWA,500,UGA,1999,14,8,1999,18,8,1999,5,1,0,18,4,1,1,1,0,1,2,,18,4,1,1,1,2,,18,4,1,3,1,3,1,0,1,5,5,17,17,17,75,75,75,0,0,0,0,0,135000,199000,40,50,0,30,2364,9768,7235,21143,326,1172,0.000594049,0.001239745,0.67839196,0.8,0,0.242014742,0.342193634,0.278156997,0.479170177,0.000645696
500-2000,517-2000,4253,4253,500,UGA,517,RWA,2000,5,5,2000,11,6,2000,5,1,0,18,4,1,1,1,1,1,2,,18,4,1,0,1,2,,18,4,1,1,3,1,3,0,1,38,38,17,17,17,75,75,75,0,0,0,0,0,135000,98000,50,70,30,0,10269,1586,21778,7733,1222,350,0.001237132,0.000818433,1.37755102,0.714285714,,6.474779319,2.816242079,3.491428571,1.511585792,0.000418699
517-2000,500-2000,4253,4253,517,RWA,500,UGA,2000,5,5,2000,11,6,2000,5,1,0,18,4,1,1,1,0,1,2,,18,4,1,1,1,2,,18,4,1,3,1,3,1,0,1,38,38,17,17,17,75,75,75,0,0,0,0,0,98000,135000,70,50,0,30,1586,10269,7733,21778,350,1222,0.000818433,0.001237132,0.725925926,1.4,0,0.154445418,0.355083111,0.286415712,0.661556893,0.000418699
Feb-98,450-1998,4254,4254,2,USA,450,LBR,1998,1,9,1998,30,11,1998,8,4,0,7,3,0,1,1,1,0,0,0,7,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,91,91,7,7,0,49,49,0,0,0,0,0,0,279702000,46000,1510,,98658,0,3126886,1202,274028,2666,69572,580,0.14151686,0.000184354,6080.478261,,,2601.402662,102.7861965,119.9517241,767.6347132,0.141332506
450-1998,Feb-98,4254,4254,450,LBR,2,USA,1998,1,9,1998,30,11,1998,8,4,0,7,3,0,1,1,0,0,0,0,0,1,1,1,0,0,0,7,3,1,3,1,3,1,0,1,91,91,7,0,7,49,65,49,0,0,0,0,0,46000,279702000,,1510,0,98658,1202,3126886,2666,274028,580,69572,0.000184354,0.14151686,0.000164461,-0.005960265,0,0.000384408,0.009728933,0.008336687,0.001302703,0.141332506
450-1998,475-1998,4255,4255,450,LBR,475,NIG,1998,1,2,1998,28,2,1998,8,3,0,14,3,0,1,1,0,0,0,0,0,1,1,1,0,0,0,14,3,1,3,1,3,1,0,1,28,28,12,0,12,65,0,65,0,0,0,0,0,46000,2143000,,76,0,15,1202,62593,2666,106409,580,20301,0.000184354,0.006688712,0.021465236,-0.118421053,0,0.019203425,0.025054272,0.028570021,0.027562022,0.006504358
475-1998,450-1998,4255,4255,475,NIG,450,LBR,1998,1,2,1998,28,2,1998,8,3,0,14,3,0,1,1,1,0,0,0,14,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,28,28,12,12,0,65,65,65,0,0,0,0,0,2143000,46000,76,,15,0,62593,1202,106409,2666,20301,580,0.006688712,0.000184354,46.58695652,,,52.07404326,39.91335334,35.00172414,36.2818089,0.006504358
450-1999,451-1999,4256,4256,450,LBR,451,SIE,1999,9,4,1999,30,10,1999,8,3,0,13,3,0,2,1,0,1,2,0,2,2,1,1,1,2,0,13,3,1,3,1,3,1,0,1,205,205,11,1,11,49,30,49,0,0,0,0,0,25000,11000,5,3,0,0,1334,1641,2930,4717,629,695,0.00019754,0.000238542,2.272727273,1.666666667,,0.812918952,0.621157515,0.905035971,0.828114349,4.10019E-05
