keya,keyb,disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,ongo2014,new,change,changetype_1,changetype_2,milex_a,milex_b,milper_a,milper_b,irst_a,irst_b,pec_a,pec_b,tpop_a,tpop_b,upop_a,upop_b,cinc_a,cinc_b,milex_ratio,milper_ratio,irst_ratio,pec_ratio,tpop_ratio,upop_ratio,cinc_ratio,power_asymmetry
42-1950,41-1950,1112,1112,42,DOM,41,HAI,1950,25,9,1949,31,1,1950,5,1,0,14,3,0,1,1,1,1,3,0,14,3,1,0,0,0,0,0,1,1,1,3,1,3,0,2,32,130,12,12,0,65,65,75,0,0,0,0,0,17649,3540,15,3,0,0,10,1,2240,3097,182,134,0.000496983,0.000366011,4.98559322,5,,10,0.723280594,1.358208955,1.357838309,0.000130973
40-1959,42-1959,1114,1114,40,CUB,42,DOM,1959,23,6,1959,24,7,1959,5,3,0,8,3,0,2,1,1,1,3,0,8,3,1,0,1,3,0,2,2,1,1,3,1,3,0,1,32,32,7,7,1,49,49,30,0,0,0,0,0,,42600,19,18,29,0,5298,39,6901,2941,1599,328,0.001713491,0.000521507,-0.000211268,1.055555556,,135.8461538,2.346480789,4.875,3.28565041,0.001191984
42-1959,40-1959,1114,1114,42,DOM,40,CUB,1959,23,6,1959,24,7,1959,5,3,0,8,3,0,2,1,0,1,3,0,2,2,1,1,1,3,0,8,3,1,3,1,3,1,0,1,32,32,7,1,7,49,30,49,0,0,0,0,0,42600,,18,19,0,29,39,5298,2941,6901,328,1599,0.000521507,0.001713491,,0.947368421,0,0.007361268,0.42617012,0.205128205,0.304353743,0.001191984
42-1959,101-1959,1114,1114,42,DOM,101,VEN,1959,1,7,1959,24,7,1959,5,3,0,2,2,0,2,1,0,1,3,0,2,2,1,1,1,3,0,2,2,0,3,2,3,1,0,1,24,24,1,1,1,30,30,30,0,0,0,0,0,42600,181194,18,23,0,50,39,107242,2941,7086,328,2093,0.000521507,0.006244264,0.235107123,0.782608696,0,0.000363663,0.415043748,0.156712852,0.083517848,0.005722756
101-1959,42-1959,1114,1114,101,VEN,42,DOM,1959,1,7,1959,24,7,1959,5,3,0,2,2,0,2,1,1,1,3,0,2,2,0,0,1,3,0,2,2,1,2,3,1,3,0,1,24,24,1,1,1,30,30,30,0,0,0,0,0,181194,42600,23,18,50,0,107242,39,7086,2941,2093,328,0.006244264,0.000521507,4.253380282,1.277777778,,2749.794872,2.409384563,6.381097561,11.97348855,0.005722756
40-1967,101-1967,1115,1115,40,CUB,101,VEN,1967,8,5,1967,8,5,1967,5,3,1,18,4,1,1,1,1,1,3,1,18,4,1,0,0,0,0,18,4,1,1,3,1,3,0,1,1,1,17,17,17,75,75,75,0,0,0,0,0,170000,197778,110,40,120,690,5544,152783,8139,9352,1710,2477,0.001996317,0.006281528,0.859549596,2.75,0.173913043,0.03628676,0.870295124,0.690351231,0.317807568,0.004285211
101-1967,40-1967,1115,1115,101,VEN,40,CUB,1967,8,5,1967,8,5,1967,5,3,1,18,4,1,1,1,0,0,0,0,18,4,1,1,1,3,1,18,4,1,3,1,3,1,0,1,1,1,17,17,17,75,75,75,0,0,0,0,0,197778,170000,40,110,690,120,152783,5544,9352,8139,2477,1710,0.006281528,0.001996317,1.1634,0.363636364,5.75,27.55826118,1.149035508,1.448538012,3.146558172,0.004285211
220-1958,600-1958,1117,1117,220,FRN,600,MOR,1958,10,2,1958,24,2,1958,1,1,4,19,4,0,1,2,0,0,0,2,19,4,0,1,1,1,4,19,4,1,4,1,1,3,0,1,15,15,16,16,16,65,65,65,0,1,0,0,0,3620000,47143,961,27,14616,0,111257,544,44789,10987,7775,1707,0.033753257,0.001687698,76.7876461,35.59259259,,204.5165441,4.076545008,4.554774458,19.99957872,0.032065559
600-1958,220-1958,1117,1117,600,MOR,220,FRN,1958,10,2,1958,24,2,1958,2,1,4,19,4,0,1,2,1,1,1,4,19,4,1,0,0,0,2,19,4,0,1,4,3,1,0,1,15,15,16,16,16,65,65,65,0,1,0,0,0,47143,3620000,27,961,0,14616,544,111257,10987,44789,1707,7775,0.001687698,0.033753257,0.013022928,0.028095734,0,0.00488958,0.245305767,0.219549839,0.050001053,0.032065559
230-1957,600-1957,1117,1117,230,SPN,600,MOR,1957,23,11,1957,24,2,1958,0,0,0,19,4,0,1,2,0,0,0,0,19,4,1,1,1,1,0,19,4,1,3,1,3,1,0,1,39,39,16,16,16,65,65,65,0,0,1,0,0,139692,47143,451,24,1346,0,20886,466,29693,10688,7488,1582,0.010724442,0.001638105,2.963154657,18.79166667,,44.81974249,2.778162425,4.733249052,6.546858318,0.009086337
230-1958,600-1958,1117,1117,230,SPN,600,MOR,1958,23,11,1957,24,2,1958,1,1,4,19,4,0,1,2,0,0,0,4,19,4,1,1,1,1,4,19,4,1,3,1,3,1,0,2,56,95,16,16,16,65,65,65,0,0,1,0,0,130920,47143,424,27,1560,0,23578,544,29943,10987,7711,1707,0.010771476,0.001687698,2.777082494,15.7037037,,43.34191176,2.725311732,4.517281781,6.382346514,0.009083778
600-1957,230-1957,1117,1117,600,MOR,230,SPN,1957,23,11,1957,24,2,1958,0,0,0,19,4,0,1,2,1,1,1,0,19,4,1,0,0,0,0,19,4,1,1,3,1,3,0,1,39,39,16,16,16,65,65,65,0,0,1,0,0,47143,139692,24,451,0,1346,466,20886,10688,29693,1582,7488,0.001638105,0.010724442,0.337478166,0.053215078,0,0.022311596,0.359950157,0.211271368,0.152745019,0.009086337
600-1958,230-1958,1117,1117,600,MOR,230,SPN,1958,23,11,1957,24,2,1958,2,1,4,19,4,0,1,2,1,1,1,4,19,4,1,0,0,0,4,19,4,1,1,3,1,3,0,2,56,95,16,16,16,65,65,65,0,0,1,0,0,47143,130920,27,424,0,1560,544,23578,10987,29943,1707,7711,0.001687698,0.010771476,0.360090131,0.063679245,0,0.023072356,0.366930501,0.221372066,0.156682185,0.009083778
230-1972,600-1972,1118,1118,230,SPN,600,MOR,1972,1,1,1972,30,6,1972,5,3,0,17,4,0,1,1,0,0,0,0,8,3,1,1,1,2,,17,4,1,3,1,3,1,0,1,182,182,15,7,15,81,49,81,0,0,0,0,0,861477,140342,365,65,9564,1,80167,5340,34494,15754,10995,3849,0.011092824,0.002199099,6.13841188,5.615384615,9564,15.01254682,2.189539165,2.856586126,5.04425881,0.008893725
